name,price,deal,shop_name,location,url
【入店必买】Blank ME小银盒气垫粉霜粉底液bb霜混油皮遮瑕,259.00,7000+人付款,blankme海外旗舰店,浙江 宁波,https://detail.tmall.com/item.htm?id=637438720782&ns=1&abbucket=3
花西子石斛粉底液/混干皮挚爱/轻薄养肤保湿粉底遮瑕持久不脱妆女,229.00,3000+人付款,花西子旗舰店,浙江 杭州,https://detail.tmall.com/item.htm?id=655307246252&ns=1&abbucket=3
爱敬粉底液遮瑕保湿持久不脱妆干皮油皮粉底bb霜旗舰店官方正品,129.00,2万+人付款,aekyung海外旗舰店,浙江 杭州,https://detail.tmall.com/item.htm?id=643396520708&ns=1&abbucket=3
【双11立即预定】珀莱雅双抗粉底液保湿持久控油干油皮养肤新升级,169.00,2万+人付款,珀莱雅官方旗舰店,浙江 杭州,https://detail.tmall.com/item.htm?id=624308801089&ns=1&abbucket=3
花西子持妆粉底液/混油皮挚爱/遮瑕保湿持久bb霜轻薄养肤女不脱妆,229.00,7000+人付款,花西子旗舰店,浙江 杭州,https://detail.tmall.com/item.htm?id=624644848031&ns=1&abbucket=3
Mistine蜜丝婷小蓝盾粉底液混干油皮保湿遮瑕控油持久不脱妆bb霜,119.90,7万+人付款,mistine化妆品旗舰店,江苏 南京,https://detail.tmall.com/item.htm?id=624673019748&ns=1&abbucket=3
资生堂完美意境保湿奶油粉底霜25g 裸妆遮瑕持久粉霜粉底液正品,89.00,7000+人付款,天猫国际进口超市,浙江 杭州,https://detail.tmall.com/item.htm?id=604768204136&ns=1&abbucket=3
RMK【直营】RMK水凝光采粉底霜30g 遮瑕 持久水粉粉霜粉底液日本,299.00,2000+人付款,天猫国际进口超市,浙江 杭州,https://detail.tmall.com/item.htm?id=619398358202&ns=1&abbucket=3
【双11预售抢先付定】完美日记养肤粉霜粉底液细腻保湿持久不脱妆,179.00,1万+人付款,perfectdiary旗舰店,广东 广州,https://detail.tmall.com/item.htm?id=652232409111&ns=1&abbucket=3
美宝莲纽约fitme粉底液干皮遮瑕保湿持久不脱妆滋润水润官方正品,139.00,1万+人付款,美宝莲旗舰店,上海,https://detail.tmall.com/item.htm?id=578427521199&ns=1&abbucket=3
【双11预售】美宝莲纽约fitme粉底液控油遮瑕保湿持久不脱妆油皮,99.00,6万+人付款,美宝莲旗舰店,上海,https://detail.tmall.com/item.htm?id=564446912358&ns=1&abbucket=3
双十一提前购卡姿兰小夜猫奶猫粉底液遮瑕持久不脱妆干油皮旗舰店,118.00,10万+人付款,卡姿兰官方旗舰店,广东 广州,https://detail.tmall.com/item.htm?id=608068592627&ns=1&abbucket=3
【双11预售】阿玛尼高定红气垫菁华粉底液遮瑕持久油皮,660.00,3000+人付款,阿玛尼美妆官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=562227622801&ns=1&abbucket=3
