productId,price,name,shop,自营
100008794823,259.90,"	
完美日记 小细跟细管礼盒三支装L02+L03+L04必备气质 唇膏 生日礼物",完美日记京东自营旗舰店,"['自营', '放心购', '券229-10']"
100006262957,289.00,迪奥Dior全新烈艳蓝金唇膏缎光/滋润999#3.5g(唇膏女 经典正红 生日礼物 送女友）,迪奥（Dior）美妆京东自营专区,"['自营', '放心购']"
10025825650483,238.00,ARMANI阿玛尼405\415\206丝绒哑光女士红管唇釉礼盒套装生日礼物送女友 红管405#烂番茄色,伊卓美妆专营店,"['京东物流', '放心购', '秒杀', '免邮']"
4075263,175.00,"	
魅可（M.A.C）柔感哑光唇膏01# 3g(602 CHILI)枫叶砖红  网红小辣椒  经典子弹头  节日礼物 送女友送老婆",MAC魅可京东自营专区,"['自营', '品质溯源', '每满100-10', '赠']"
5153444,460.00,汤姆福特(TOM FORD)烈焰幻魅唇膏16#3g(TF经典款 TF女 斯嘉丽红 滋润丝滑 送朋友 生日礼物),汤姆福特（TOM FORD）京东自营专区,"['自营', '放心购', '品质溯源', '满300-30', '赠']"
10026031479014,65.00,"	
【限定款·5支套装】礼盒化妆品套装丝绒雾面生日礼物送女朋友老婆闺蜜彩妆套装 5支刺绣礼盒装",嘉彧美妆专营店,"['京东物流', '放心购', '秒杀']"
10031645274936,369.00,"	
【生日礼物】GUCCI 古驰碎花金管哑光唇膏礼盒套装碎花25#505#208# 新款金管哑光505#",致臻化妆品专营店,"['京东物流', '放心购', '满333-44']"
100011754347,290.00,雅诗兰黛倾慕哑光333#干枫叶色保湿滋润显白不挑皮持久不掉色化妆品礼盒【预售】,Estee Lauder雅诗兰黛京东自营官方旗舰店,"['自营', '放心购']"
6291116,89.00,"	
卡姿兰（Carslan）粉悦木马轻雾感唇爱盒(礼盒 雾感哑光唇膏不易沾杯 mini6支套装 )  生日礼物女",卡姿兰京东自营官方旗舰店,"['自营', '放心购', '闪购']"
10034001069765,258.00,Armani阿玛尼唇釉405烂番茄色生日礼物女礼盒套装 红管405#烂番茄红,乐逗美妆专营店,"['京东物流', '放心购', '免邮', '赠']"
5819867,358.00,"	
汤姆福特（TOM FORD）TF 经典唇膏 3g 16 SCARLET ROUGE  复古番茄红 滋润（奶油质地）彩妆礼物",京东国际美妆自营跨境免税店,"['自营', '放心购', '品质溯源', '包税', '券159-20', '每满300-30']"
100013372343,109.90,"	
完美日记小黑钻套组倾色暮光唇膏迷你6支装礼盒 升级版 生日礼物",完美日记京东自营旗舰店,"['自营', '放心购', '闪购', '满赠']"
100008341435,285.00,"	
兰蔻菁纯柔雾哑光唇膏 888 3.4g 化妆品 莓果色小野莓 显白不挑皮 礼盒礼物送女友 11.11预售爆款",兰蔻京东自营官方旗舰店,"['自营', '放心购', '券1200-100', '赠']"
100009404481,219.00,花西子【同心礼】同心锁/浮雕雕花唇膏女保湿滋润中国风情人节礼物-M413檀心锁,花西子京东自营旗舰店,"['自营', '放心购']"
68035186544,278.00,"	
情人节生日礼物汤姆福特（TOM FORD）TF16烈焰炫彩幻魅黑金礼盒黑管细管唇膏 黑管16#SCARLET ROUGE经典番茄红",荼蕾熙美妆专营店,"['京东物流', '放心购', '秒杀']"
100019866682,285.00,"	
迪奥(Dior)全新烈艳蓝金#999缎光正红色唇膏3.5g(礼盒套装 迪奥 保湿滋润 缎光持久 生日礼物女)",迪奥（Dior）海外京东自营专区,"['自营', '品质溯源', '秒杀', '券159-20', '每满300-30']"
10037166215489,128.00,"	
皮革包包完美小日记细跟礼盒学生生日礼物女生送闺蜜女朋友老婆结婚纪念日礼物套装化妆品套盒唇膏 爱心款皮革礼盒【七仓配送·送",诚之诚美妆专营店,"['京东物流', '新品', '免邮']"
100013038018,330.00,迪奥Dior魅惑润唇蜜001#3.5g(润唇膏 粉红色 滋润保湿 送女友 新版本3.2g)新老版本随机发货,迪奥（Dior）美妆京东自营专区,"['自营', '品质溯源', '券300-10', '满300-30']"
100017614666,285.00,"	
迪奥(Dior)烈艳蓝金#999 丝绒正红 3.5g(礼盒套装 迪奥唇膏 丝绒正红 传奇红唇 生日礼物女)",迪奥（Dior）海外京东自营专区,"['自营', '放心购', '品质溯源', '秒杀', '券299-30', '每满300-30']"
100022162276,189.00,colorkey 珂拉琪Hello Kitty粉力琪遇礼盒02粉力王炸1g*6支 空气唇釉全丝绒系列哑光雾面唇彩 礼物送礼,colorkey京东自营官方旗舰店,"['自营', '放心购']"
34863037520,99.00,卡姿兰轻雾感哑光唇膏女3.6g 持久滋润保湿防水不易掉色不沾杯李佳琦推荐平价生日礼物女 13#暧昧,卡姿兰久州达专卖店,"['京东物流', '放心购', '满99-10']"
7813639,225.00,"	
阿玛尼（ARMANI）臻致丝绒哑光唇釉  400 流金红管哑光 正红色 6.5ml彩妆礼物",京东国际美妆自营跨境免税店,"['自营', '品质溯源', '包税', '券299-20', '每满300-30']"
100008602116,59.00,"	
colorkey 珂拉琪雾面丝绒空气哑光唇釉 B605肉桂蜜桃1.7g 唇彩唇蜜唇泥丝绒系列不易沾杯不易掉色",colorkey京东自营官方旗舰店,"['自营', '放心购', '闪购', '2件7.5折']"
100022610176,290.00,雅诗兰黛倾慕缎光唇膏420#豆沙色保湿滋润温柔显白不挑皮持久不掉色化妆品礼盒【预售】,Estee Lauder雅诗兰黛京东自营官方旗舰店,"['自营', '券1200-100', '赠']"
10020307360855,99.00,卡姿兰礼盒雾吻唇膏哑光雾感显色保湿持妆不易掉色薇娅推荐平价女友生日礼物女 M05奶油萝卜,卡姿兰久州达专卖店,"['京东物流', '放心购', '满99-10']"
60293433520,69.00,colorkey珂拉琪丝绒空气哑光唇釉唇泥不易掉色防水番茄蜜桃唇彩唇蜜送女友礼物 R608 焦糖红棕,colorkey官方旗舰店,['放心购']
100024077586,300.00,"	
兰蔻菁纯丝绒雾面唇膏295 3.4g 小蛮腰哑光微醺甜茶 显白化妆品礼盒礼物送女友 11.11预售爆款",兰蔻京东自营官方旗舰店,"['自营', '放心购', '新品', '券1200-100', '赠']"
100023820236,339.00,"	
圣罗兰（YSL） 小黑条 裸感哑光新色302赤裸豆沙色 2g (半哑光 持久显色 送礼盒）生日礼物",圣罗兰（YSL）美妆京东自营专区,"['自营', '品质溯源', '闪购', '每满300-30']"
